"Date Modified"		;"Date modifiée" 
"Date Created"		;"Date crée"
"Date Accessed"		;"Date de dernier accès"
"File Path"			;"Chemin du fichier"
"File Name"			;"Nom du fichier"
"File Size"			;"Taille du fichier"
"MD5 Hash"			;"Hash MD5"
"MIME Type"			;"Type MIME"
"Page"				;"Page"
"Bookmark"			;"Marque-page"
"Number of files"	;"Nombre de fichiers"
"Files"				;"Fichiers"    
"Tags"				;"Tags (marquages)"
"Case Information"	;"Information sur le cas"
"Title"				;"Titre"
"Case Number"		;"Cas numéro"
"Examiner(s)"		;"Technicien" 
"Description"		;"Description"
"ATTENTION"			;"ATTENTION" 
"It is recommended to configure the browser to offline mode, in order to avoid that HTML temporary files be visualized in external servers"	; "Il est recommandé de configurer le navigateur en mode hors-ligne, de manière à éviter que les fichiers HTML puissent être visualisés par des serveurs exterieurs."
"Summary"			;"Résumé"
"Summary of analysis"	;"Résumé de l'analyse"
"Help"				;"Aide" 
"Selected Evidences"	;"Eléments de preuve séléctionnés" 
"Index"				;"Index"
"Deleted"			;"Effacés"
"Yes"				;"Oui"
"No"				;"Non"
"Exported as:"		;"Exporté comme:"
"not calculated"	;"Non calculé"
"Tagged_Files"		;"fichiers tagués"		; folder name to export tagged files
"Report"			;"Rapport"
"Report.html"		;"Rapport.html"
"Report of media analysis"	;"Rapport d'analyse de médias"		;title of report
"Previous page"		;"Page précédente"
"next page"			;"Page suivante"
"Report date"		;"Date du rapport"
"Print"				;"Imprimer"
"Checksum"			;"Checksum"
"File size"			;"Taille du fichier"
"Date"				;"Date"
"Exif Metadata"		;"Metadonnées Exif"
"Device Make"		;"Fabrication de l'objet"
"Device Model"		;"Modèle d'objet"
"Generation Date"	;"Date générée"
"GPS Position"		;"Position GPS"
"Google Maps"		;"Google Maps"
"Latitude"			;"Latitude"
"Longitude"			;"Longitude"
"Altitude"			;"Altitude"
"Tag"				;"Tag"
"Files sorted by *sorted_by* in ascending order."	;"Fichiers triés par '*triés_par*' en ordre ascendant."
"To view this report preferred browser is latest Google Chrome, Microsoft Edge or Firefox"	;"Pour mieux visualiser ce rapport il est préférable d'utiliser Google Chrome, Microsoft Edge ou Firefox."
"CAT-0: Uncategorized"	;"CAT-0: Non catégorisé"
"CAT-1: Child Exploitation (Illegal)"	;"CAT-1: Exploitation d'enfant (Illegal)"
"CAT-2: Child Exploitation (Non-Illegal/Age Difficult)"	;"CAT-2: Exploitation d'enfant (Non-Illegal/Difficulté due à l'âge)"
"CAT-3: CGI/Animation (Child Exploitive)"	;"CAT-3: CGI/Animation (Représentation d'enfants)"
"CAT-4: Exemplar/Comparison (Internal Use Only)"	;"CAT-4: Images de comparaison (Utilisation interne uniquement)"
"CAT-5: Non-pertinent"	;"CAT-5: Non-pertinent"
"Number of Object to Display per page"	; "Nombre d'éléments a afficher par page"
"Report language"	;"Langage du rapport"
"Report Number To Appear on Case Info"	;"Numéro du rapport à afficher sur l'information du cas"
"Examiner(s) To Appear on Case Info"	;"Technicien(s) à afficher sur l'information du cas"
"Description To Appear on Case Info"	;"Description à afficher sur l'information du cas"
"Tags to Select for Report:"	;"Selectionnez des élements pour le rapport:"
"Sort files by:"	;"Fichiers triés par:"
"Menu's items:"	; "Eléments du menu:"
"Case information: start page with informations about the case, like case number, forensic examiner, etc."	;"Information sur le cas: commencer la page de démarrage avec les informations du cas, comme le numéro du cas, le technicien, etc."
"Help: this help page."	;"Aide: Ceci est la page d'aide"
"Images (for example): page(s) containing name, link and others metadata of selected files for each evidence category (tag)."	; "Images (par exemple): page(s) contenant le nom, le lien et les autres métadonnées des fichiers choisis pour chaque catégorie de preuve (tag)."
"Storage and visualization of files"	;"Stockage et visualisation des fichiers"
"Not all of the evidence files exported to this optical media can be opened up in the browser application. In this case, it can be needed the instalation of the proper application"	;"Tous les fichiers preuve ne peuvent pas être ouverts dans le navigateur. Dans ce cas, il peut être necessaire d'installer l'application propre"
"All of the evidence files were exported to report folder *report_dir*/*tagged_files*."	;"Tous les fichiers preuve ont été exportés dans le dossier du rapport *report_dir*/*tagged_files*."
"CAT-0: Uncategorized"	;"Non catégorisé"
"Child Abuse Material - (CAM)"	;"Preuve Materielle d'Abus Sexuel d'Enfant (PMASE)"
"Child Exploitive (Non-CAM) Age Difficult"	;"Exploitation d'enfant (Autre que PMASE) Difficultés d'estimation d'âge"
"CGI/Animation - Child Exploitive"	;"CGI/Animation (Représentation d'enfants exploités)"
"Comparison Images"	;"Images de comparaison (Utilisation interne uniquement)"
"Non-Pertinent"	;"Non-pertinent"
"Image information";"Information de l'image"
"Source name";"Nom de la source"
"Tag name";"Nom du Tag"
"Tagged files count";"Nombre de fichiers tagués"
"Autopsy version";"Version d'Autopsy"
